  Generating ../edge.epk
  Adding graphics/fonts/misc/stcfn148.gfx         37.8% [    84/   135] Deflate
  Adding graphics/fonts/misc/stgncoma.gfx         23.3% [    33/    43] Deflate
  Adding graphics/fonts/misc/stgnum0.gfx          27.3% [    48/    66] Deflate
  Adding graphics/fonts/misc/stgnum1.gfx          24.2% [    47/    62] Deflate
  Adding graphics/fonts/misc/stgnum2.gfx          28.0% [    54/    75] Deflate
  Adding graphics/fonts/misc/stgnum3.gfx          30.6% [    50/    72] Deflate
  Adding graphics/fonts/misc/stgnum4.gfx          23.3% [    46/    60] Deflate
  Adding graphics/fonts/misc/stgnum5.gfx          26.4% [    53/    72] Deflate
  Adding graphics/fonts/misc/stgnum6.gfx          26.1% [    51/    69] Deflate
  Adding graphics/fonts/misc/stgnum7.gfx          26.3% [    42/    57] Deflate
  Adding graphics/fonts/misc/stgnum8.gfx          28.8% [    47/    66] Deflate
  Adding graphics/fonts/misc/stgnum9.gfx          26.1% [    51/    69] Deflate
  Adding graphics/fonts/misc/stsmcoma.gfx         23.3% [    33/    43] Deflate
  Adding graphics/fonts/misc/stsmnum0.gfx         27.3% [    48/    66] Deflate
  Adding graphics/fonts/misc/stsmnum1.gfx         24.2% [    47/    62] Deflate
  Adding graphics/fonts/misc/stsmnum2.gfx         28.0% [    54/    75] Deflate
  Adding graphics/fonts/misc/stsmnum3.gfx         30.6% [    50/    72] Deflate
  Adding graphics/fonts/misc/stsmnum4.gfx         23.3% [    46/    60] Deflate
  Adding graphics/fonts/misc/stsmnum5.gfx         26.4% [    53/    72] Deflate
  Adding graphics/fonts/misc/stsmnum6.gfx         26.1% [    51/    69] Deflate
  Adding graphics/fonts/misc/stsmnum7.gfx         26.3% [    42/    57] Deflate
  Adding graphics/fonts/misc/stsmnum8.gfx         28.8% [    47/    66] Deflate
  Adding graphics/fonts/misc/stsmnum9.gfx         26.1% [    51/    69] Deflate
  Adding graphics/heretic/h_contrl.gfx            54.8% [   716/  1583] Deflate
  Adding graphics/heretic/h_epi1.gfx              58.3% [  1422/  3410] Deflate
  Adding graphics/heretic/h_epi2.gfx              53.2% [   930/  1987] Deflate
